Name,Sector,Years of Operation
Ampush,Professional Scientific and Technical Services,13 (2010-2023)
Aryballe,Manufacturing,8 (2014-2022)
Atrium,Professional Scientific and Technical Services,4 (2017-2021)
Babble,Information,11 (2006-2017)
BeRecruited,Information,12 (2007-2019)
Bina Technologies,Health Care,5 (2011-2016)
BioViva,Health Care,6 (2015-2021)
BlackJet,Transportation and Warehousing,5 (2012-2017)
Block Party,Information,3 (2020-2023)
Bloom Energy,Manufacturing,10 (2001-2011)
Blurb,Manufacturing,15 (2005-2020)
Breather,Real Estate and Rental and Leasing,9 (2012-2021)
BrightFarms,Agriculture Forestry Fishing and Hunting,12 (2011-2023)
Brit + Co,Information,10 (2011-2021)
BufferBox,Transportation and Warehousing,4 (2011-2015)
Butterfly Health,Health Care,5 (2014-2019)
Calxeda,Manufacturing,7 (2008-2015)
Canary,Manufacturing,8 (2012-2020)
Chef’d,Accommodation and Food Services,5 (2014-2019)
ClassPass,Arts Entertainment and Recreation,10 (2013-2023)
Clever,Information,9 (2012-2021)
ClickFacts,Professional Scientific and Technical Services,6 (2005-2011)
Club Penguin,Arts Entertainment and Recreation,12 (2005-2017)
Couchsurfing,Administrative and Support Services,16 (2004-2020)
Covo,Real Estate and Rental and Leasing,5 (2015-2020)
Cypress,Manufacturing,6 (2014-2020)
Dealflicks,Arts Entertainment and Recreation,7 (2012-2019)
Delight,Retail Trade,5 (2012-2017)
Delivery Hero,Accommodation and Food Services,12 (2011-2023)
DoorDash Air,Transportation and Warehousing,3 (2020-2023)
Doppler Labs,Manufacturing,5 (2013-2018)
DormChat,Information,3 (2014-2017)
Doximity,Health Care,12 (2010-2022)
DroneBase,Professional Scientific and Technical Services,8 (2014-2022)
Dundee Venture,Finance and Insurance,10 (2010-2020)
E la Carte,Accommodation and Food Services,11 (2008-2019)
Earbits,Arts Entertainment and Recreation,8 (2010-2018)
Eden,Administrative and Support Services,6 (2015-2021)
Edmodo,Information,13 (2008-2021)
EduKart,Information,7 (2011-2018)
Egomotion,Arts Entertainment and Recreation,5 (2012-2017)
Eko,Health Care,7 (2013-2020)
Elance,Administrative and Support Services,15 (1999-2014)
Elevate Labs,Information,10 (2012-2022)
Ellipse,Manufacturing,5 (2015-2020)
Embrace,Health Care,8 (2012-2020)
Endomondo,Arts Entertainment and Recreation,12 (2007-2019)
Enigma,Information,9 (2011-2020)
Entrypoint,Information,4 (2016-2020)
Envoy,Administrative and Support Services,7 (2013-2020)
EpiBone,Health Care,8 (2013-2021)
Etsy Wholesale,Retail Trade,7 (2013-2020)
Eventbrite Britain,Arts Entertainment and Recreation,6 (2014-2020)
Every.me,Information,3 (2012-2015)
FameBit,Professional Scientific and Technical Services,6 (2013-2019)
Famo.us,Information,6 (2011-2017)
Fanduel Scotland,Arts Entertainment and Recreation,8 (2012-2020)
FanDuel Sportsbook,Arts Entertainment and Recreation,15 (2009-2024)
Fanhattan,Information,6 (2010-2016)
Fano,Information,4 (2013-2017)
Faze Medicines,Health Care,4 (2019-2023)
Feather,Real Estate and Rental and Leasing,6 (2017-2023)
Fieldbook,Information,5 (2014-2019)
Fieldlens,Construction,7 (2011-2018)
FiftyThree,Information,8 (2011-2019)
Filepicker,Information,6 (2012-2018)
Firebase,Information,7 (2011-2018)
Firefly,Transportation and Warehousing,5 (2014-2019)
First Opinion,Health Care,6 (2013-2019)
Fitbit Coach,Arts Entertainment and Recreation,6 (2015-2021)
Fitmob,Arts Entertainment and Recreation,4 (2013-2017)
Fiverr Gigs,Professional Scientific and Technical Services,11 (2010-2021)
Fixya,Information,14 (2005-2019)
Flashnotes,Information,6 (2010-2016)
Fleksy,Information,8 (2011-2019)
Flock,Information,5 (2012-2017)
Flocu,Information,3 (2015-2018)
Framed Data,Information,3 (2013-2016)
Freak’n Genius,Information,5 (2011-2016)
Freeletics,Arts Entertainment and Recreation,10 (2013-2023)
Frenzy,Retail Trade,4 (2015-2019)
Freshdesk,Information,12 (2010-2022)
Front Desk,Administrative and Support Services,6 (2012-2018)
Gametime,Arts Entertainment and Recreation,9 (2013-2022)
Gawk Media,Information,6 (2010-2016)
GazeHawk,Professional Scientific and Technical Services,5 (2009-2014)
Geckoboard,Information,12 (2010-2022)
Genuity,Information,5 (1996-2001)
Getaround,Transportation and Warehousing,11 (2011-2022)
Ginger.io,Health Care,9 (2011-2020)
Gnip,Information,11 (2008-2019)
Gobble,Accommodation and Food Services,9 (2010-2019)
Good Technology,Information,16 (1996-2012)
Greenhouse.io,Information,10 (2012-2022)
Grockit,Information,8 (2007-2015)
Guitar Hero Live,Arts Entertainment and Recreation,4 (2015-2019)
Gusto,Administrative and Support Services,11 (2012-2023)
Hailo,Transportation and Warehousing,7 (2011-2018)
Handspring,Manufacturing,5 (1998-2003)
Happn,Information,9 (2014-2023)
Heap,Information,10 (2013-2023)
HiGear,Transportation and Warehousing,2 (2011-2013)
Highfive,Information,8 (2012-2020)
Hipmunk,Administrative and Support Services,10 (2010-2020)
Hired,Administrative and Support Services,9 (2012-2021)
Homeslice,Real Estate and Rental and Leasing,4 (2015-2019)
HopSkipDrive,Transportation and Warehousing,9 (2014-2023)
HotelTonight,Administrative and Support Services,11 (2010-2021)
HowAboutWe,Information,8 (2010-2018)
Hyperloop One,Transportation and Warehousing,8 (2014-2022)
I/O Docs,Information,4 (2011-2015)
